gene_id	NA.	X100_cells_rep1	X100_cells_rep2	X100_cells_rep3	X300_cells_rep1	X300_cells_rep2	X300_cells_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000017724	Etv4	1191.40146975248	1127.15995977437	1317.86954228353	744.397156757389	787.743583689958	802.284948168721	995.142776737741	0.638326012122241	0.0763531153058891	8.36018294165147	6.26210743771995e-17	8.14888040870498e-13
ENSMUSG00000060461	Dppa5a	17.770055820037	9.68350480905816	13.3680765066799	88.5229051279058	110.7764414564	48.0279424754064	48.0248210325813	-2.58536934931154	0.353847070306026	-7.30645967218429	2.7427276727823e-13	1.7845557602958e-09
ENSMUSG00000026193	Fn1	903.849657391884	782.427188571899	815.452666907474	1267.48705069501	1187.76962228251	1138.48054549657	1015.91112189089	-0.520711007813044	0.0760121872662717	-6.8503621134988	7.3663284023191e-12	3.19526771664595e-08
ENSMUSG00000020277	Pfkl	550.064000611146	602.313999123418	514.670945507176	823.866582951759	1031.86203801054	774.996344489513	716.295651782259	-0.657675578227464	0.100952482254465	-6.51470437913253	7.2832952927451e-11	2.3694380411123e-07
ENSMUSG00000030699	Tbx6	163.16142162034	170.429684639424	126.996726813459	253.497410139003	308.738045170153	276.160669233587	216.497326269328	-0.857171192035352	0.140919060608678	-6.08272002618337	1.18160577827467e-09	3.07524719853766e-06
ENSMUSG00000006494	Pdk1	88.0425492901835	99.7400995332991	74.6384271622961	179.057694463264	272.838272475949	152.816180603566	144.522203921426	-1.20192788008299	0.199272985049839	-6.03156458855869	1.62379799995849e-09	3.52174722890996e-06
ENSMUSG00000033307	Mif	8768.71481737827	8783.90721229666	8412.97614820388	10722.3368836176	11877.6962228251	10151.3605686655	9786.16530883117	-0.334886812199623	0.0559032119204908	-5.99047533576284	2.09228605830913e-09	3.88955978239667e-06
ENSMUSG00000028645	Slc2a1	4108.11381366856	4462.159016014	4917.22414170709	3400.08431059456	3676.13672388647	3367.41369401429	3988.52194998083	0.367915635182113	0.0641908919883347	5.73158627004239	9.94957216520575e-09	1.54187283148935e-05
ENSMUSG00000048528	Nkx1-2	1091.24297331227	1210.43810113227	1136.28650306779	771.557593557997	934.419797840562	773.904800342345	986.30829487554	0.470358068227725	0.0822330523003834	5.71981770188448	1.06638403776256e-08	1.54187283148935e-05
ENSMUSG00000020644	Id2	418.404041580872	500.637198628307	510.214920004949	309.83016794767	327.200785412886	294.716919735449	393.500672218356	0.612712903150971	0.107750339672819	5.68641272975528	1.29735635085451e-08	1.68824981936697e-05
ENSMUSG00000014773	Dll1	874.771384231823	856.021825120741	784.260488391887	1044.1679036678	1226.74651835051	1147.21289867391	988.863503072778	-0.440328598557935	0.0778156276839445	-5.65861397849762	1.52600356115143e-08	1.80526221284215e-05
ENSMUSG00000024406	Pou5f1	18.5777856300387	4.84175240452908	17.8241020089065	53.3149314974887	83.0823310923002	43.6617658867331	36.8837780866661	-2.12210005577685	0.382965293495367	-5.54123334887138	3.00348662508753e-08	3.00649011171261e-05
ENSMUSG00000025161	Slc16a3	147.814555230308	215.942157241997	148.162847949036	436.578873017172	702.609837015132	457.35699766353	351.410878019529	-1.64117246645438	0.295835304410692	-5.54758827626615	2.89636934756849e-08	3.00649011171261e-05
ENSMUSG00000021953	Tdh	6.46183848001347	3.87340192362326	5.57003187778329	40.2376841490481	43.0797272330446	21.8308829433666	20.1755944344799	-2.71708585295787	0.505724653011012	-5.37265849465857	7.75841824618587e-08	6.73068644250778e-05
ENSMUSG00000039476	Prrx2	690.608987551439	631.364513550592	626.071583062842	878.187456552974	1052.3761938358	817.566566229078	782.695883463788	-0.495135430632146	0.0920669510187955	-5.37799313600668	7.53206873535772e-08	6.73068644250778e-05
ENSMUSG00000096210	H1f0	1062.97242996222	971.255532348534	839.96080716972	1336.89705585212	1322.13734293796	1226.8956214172	1126.68646494796	-0.43174797851487	0.0809053104136801	-5.33646031771316	9.47786028553324e-08	7.70846224347775e-05
ENSMUSG00000038235	F11r	526.639836121097	560.674928444468	614.931519307275	330.95495212592	419.514486626553	415.878320071133	478.099007116074	0.543842194518108	0.104934648943276	5.18267512203799	2.18725835709443e-07	0.000167428194122764
ENSMUSG00000028023	Pitx2	36.3478414500757	30.0188649080803	37.8762167689264	96.5704419577154	89.236577839878	68.7672812716047	59.8028706993801	-1.29142589361598	0.251761025875183	-5.12957035000419	2.90404229440136e-07	0.000209946124316916
ENSMUSG00000017390	Aldoc	72.6956829001515	70.6895851061246	66.8403825333995	165.980447114823	177.447447888493	98.2389732451495	108.648753131357	-1.07131091696662	0.211635078303434	-5.06206686318142	4.14735510736856e-07	0.000284050168485195
ENSMUSG00000055210	Foxd2	127.621309980266	108.455253861451	98.0325610489859	202.194362848967	181.550279053545	195.386402343131	152.206694856058	-0.784468967511854	0.156865250241646	-5.0009098019058	5.70604047397372e-07	0.0003712635234391
ENSMUSG00000023456	Tpi1	1808.50704459377	1952.19456950613	1669.89555695943	2707.99614323094	3404.32415920178	2624.07212979266	2361.16493388078	-0.685774801892951	0.137519268250686	-4.98675429717122	6.14020712896274e-07	0.000380488168424725
ENSMUSG00000037499	Nenf	219.702508320458	197.543498104786	207.205185853538	295.746978495503	352.84348019446	300.17464047129	262.202715240006	-0.601749511765654	0.123003589306574	-4.8921296944096	9.97506746024939e-07	0.000590025240273752
ENSMUSG00000019987	Arg1	334.400141340697	236.277517341019	251.765440875805	457.703657195422	402.077454175083	401.688246157945	347.318742847662	-0.610525520145022	0.125473706953035	-4.86576458901898	1.14015164835134e-06	0.00064507797391287
