k6	gene_short_name
F	Pou3f1
F	Slc2a3
F	Apln
C	Hoxd1
C	Camk2n1
C	Stc2
C	H2-Ab1
C	Vldlr
C	Ciart
C	Kdm4b
C	Ptges
C	Cldn11
C	Gstm5
C	Chchd10
C	Wfdc2
C	Nenf
C	Grhpr
C	Myocd
C	Ndrg2
C	Gstp1
C	Ccng2
C	Trim6
C	Plod2
C	Rnf208
C	Gys1
C	Map2k1
C	Ak4
C	Ddit4
C	Abhd18
C	Ankrd37
C	Nbl1
C	Hexa
C	Vegfa
C	Pdk1
C	Galk1
C	Aldoa
C	Pgk1
C	Bnip3l
C	Ldha
C	Pkm
C	Tpi1
C	Pfkl
C	Bnip3
C	Slc16a3
C	Higd1a
C	Fam162a
C	Mgarp
C	Egln1
C	Pgm1
C	Aldoc
C	Wwtr1
C	Pttg1
C	Gng2
C	S100a13
C	Spidr
C	Fam57a
C	Asrgl1
C	Slc6a15
C	Top1mt
C	Loxl2
C	H2-Q7
C	Armh4
C	Rras
C	Hilpda
C	Crabp1
C	Ppp1r3g
C	2210016F16Rik
C	Dnajc21
C	Tjp3
C	Llgl2
C	Prss41
C	As3mt
C	Siah2
C	Gbe1
C	Tuft1
C	Rdm1
C	Cox4i2
C	Cd44
C	Vsir
C	Slc4a7
C	Pim1
C	Pim2
C	Fbxl15
C	Pcsk9
C	Cda
C	Myl9
C	Emid1
C	Sparc
C	H2-K1
C	Espn
C	Sncb
C	Akap12
C	Arhgdig
C	Gm2a
C	Car12
C	H2-Q6
C	Krt19
C	1700003F12Rik
C	Bhlhe41
C	Agl
C	Dab1
C	Plxnd1
C	Ifitm3
C	Fbxo36
C	Stmn2
C	Atf3
C	Tnfsf12
C	C1qtnf6
C	Prdm5
C	Pipox
C	Id1
C	Cdh13
C	Ybx2
C	Perp
C	Flt1
C	Scn1b
C	Lactb2
C	Snx21
C	Stx7
C	Car13
C	Egln3
C	Pfkp
C	Fabp3
C	Ndrg1
C	Slc25a1
C	Bhlhe40
C	Ero1l
C	Bst2
C	P4ha2
C	Hexb
C	Scarb1
C	Fah
C	Apoe
C	Anxa2
C	Igfbp2
C	Cnn2
C	Arrdc2
C	Ppp1r3b
C	Dhcr7
C	Lpin1
C	Map3k9
C	Tpm2
C	Eras
C	Rhoc
C	Nabp1
C	Klf10
C	Ralb
C	H2-Q10
C	Capn5
C	Pltp
C	Rbp4
C	B4galt6
C	Rhbdf1
C	Eml2
C	Kif21a
C	Atp1b2
C	Syngr1
C	Papss1
C	Soat1
C	Hk2
C	Clcn3
C	Nampt
C	Tbl2
C	Pfkfb3
C	Prelid2
C	Nrn1
C	Smtnl2
C	Triobp
C	Dlx3
C	Mpp2
C	Cd47
C	Gm13889
C	Tinagl1
C	Gadd45b
C	Adm
C	Ier3
C	Foxo3
C	Zfp395
C	Per1
C	Nlgn2
C	Wdfy1
C	Rarb
C	Sertad1
C	Tet1
C	Celf2
C	Fam169a
C	Alkbh5
C	Ppp1r3c
C	Rora
C	Dact1
C	Cldn4
C	Vill
C	Acot1
C	Rgs11
C	Grb7
C	Tmem88
C	Crb3
C	Sdc4
C	Bcam
C	Itga3
C	Epb41l4a
C	Vangl1
C	Commd10
C	Nkx6-1
C	Ahnak
C	Sfrp5
C	Hpn
C	Krt18
C	Ret
C	Cpn1
C	Bicc1
C	Tpd52l1
C	Ptch1
C	Emp2
C	Krt8
C	Ramp2
C	Trh
C	Cdh1
C	Cldn5
C	Tuba4a
C	Ctsz
C	Selenom
C	Hrc
C	Wdr86
C	Epcam
C	Vat1
C	Foxh1
C	Cldn7
C	Slc38a4
C	Ptgds
C	Ptp4a3
C	Rbp1
C	Tspo
C	Mapk13
C	Rnf125
C	Mical1
C	Anxa7
C	Uaca
C	Txnip
C	Blvrb
C	Aldh1a2
C	Kdelr3
C	Capg
C	Adgra2
C	Aplnr
C	Slc29a1
C	Nsg2
C	Plcd1
C	Mfap2
C	Cd9
C	Bgn
C	Bag3
C	Evc2
C	Abcc1
C	Snhg11
C	Arhgap29
C	Zfp990
C	Neurl1a
C	Pdlim1
C	Cdkn1b
C	Helb
C	Gnao1
C	Gstt2
C	Zfp992
C	Pcp4
C	Clmn
C	Osr1
C	Gpx7
C	Tgfb1
C	Fgf11
C	Ppp1r13l
C	P4ha1
C	Hoxd3
C	Eno2
C	Parm1
C	Anxa4
C	Dbp
C	Upp1
C	Ndufa4l2
C	Nxph4
C	Sycp3
C	Pold4
C	Wtip
C	Rnf19a
