gene_id	NA.	X300_cells_rep1	X300_cells_rep2	X300_cells_rep3	X300_cells_noGSKi_rep1	X300_cells_noGSKi_rep2	X300_cells_noGSKi_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000013584	Aldh1a2	897.539009877899	835.10402029994	603.140719513626	6200.45216882062	6373.88151232134	4804.84624092259	3285.827278626	2.89504786307239	0.20575809442569	14.0701529684799	5.79439328091723e-45	4.34482922847444e-42
ENSMUSG00000027559	Car3	57.6221997636518	44.578506421705	43.3838061404538	434.839495834935	352.552611985735	264.046504496995	199.503854107246	2.85001197244397	0.20316051561891	14.0283753649752	1.04518565187916e-44	7.42466881232265e-42
ENSMUSG00000039316	Rftn1	196.306138177865	211.995563872108	191.523631985906	762.963794297535	642.493421296408	562.098998209512	427.896924639889	1.71330164409119	0.125563584637205	13.6448927373449	2.16531874273759e-42	1.46126535353647e-39
ENSMUSG00000022483	Col2a1	409.21528306729	414.084792983837	429.605494951811	90.7577846811447	92.4728162585535	133.023428401895	261.526600057422	-1.98708709150791	0.148109482043879	-13.4163394813521	4.85088473207725e-41	3.11773291565936e-38
ENSMUSG00000037206	Islr	216.81573470391	167.417057450403	205.279472957269	3.98935317279757	7.70606802154613	16.0028184543633	102.868417460048	-4.41463287264246	0.330858416138789	-13.3429668320439	1.30173878857337e-40	7.98616746789761e-38
ENSMUSG00000042834	Nrep	1207.13625267583	1076.81858845318	1088.82771996407	510.637206118089	530.75543498399	520.091599766808	822.377800326995	-1.11120373532962	0.0839580526653177	-13.2352252113233	5.49318308456338e-40	3.22354313445008e-37
ENSMUSG00000055210	Foxd2	196.306138177865	175.342125258706	189.407348759542	2.99201487959818	7.70606802154613	14.0024661475679	97.6260268741376	-4.50723643256054	0.3409757455303	-13.2186423569533	6.84889948948892e-40	3.85164985040133e-37
ENSMUSG00000024619	Cdx1	656.307088833458	667.686962849537	589.384878542263	4357.37100298814	3919.4988474589	2849.50186103007	2173.29177361706	2.53964954573874	0.192493776300354	13.1934112081424	9.57523884317909e-40	5.16947994665553e-37
ENSMUSG00000038227	Hoxa9	162.123477301122	231.808233392866	172.477082948633	8.97604463879453	13.4856190377057	13.0022899941702	100.312124552215	-3.99601734052579	0.306646744103875	-13.0313379070875	8.11717287474766e-39	4.2137493188642e-36
ENSMUSG00000039910	Cited2	1445.4382313594	1489.91274796098	1369.23524745725	2957.1080393362	2811.75156936164	2494.43932657388	2094.64752700823	0.940622015638209	0.0725133195856621	12.9717136246538	1.77027819907597e-38	8.8494240196031e-36
ENSMUSG00000008035	Mid1ip1	225.605561786501	235.770767297017	176.709649401361	562.498797364457	651.162747820648	647.113971248317	416.476915819717	1.54195981741453	0.121069555099314	12.7361483747888	3.72327059322273e-37	1.79474939988311e-34
ENSMUSG00000027985	Lef1	1039.15289065298	1093.65935754583	1141.73480062316	2007.64198421038	2023.80611415855	2319.40849972928	1604.23394115336	0.955936440226847	0.0752053800742969	12.7110113569329	5.13657886523871e-37	2.39063465324575e-34
ENSMUSG00000052396	Mogat2	88.8749182795308	98.072714127751	91.0001787336348	506.647852945291	444.062169741596	310.054607553289	256.452073563515	2.18146809862718	0.173407361984193	12.5800200964134	2.71960686352688e-36	1.22355112790074e-33
ENSMUSG00000048027	Rgmb	492.230316625094	360.590585277791	402.093813009084	103.723182492737	97.2891087720199	129.022723788304	264.158288327505	-1.92825547785829	0.155304940985369	-12.4159313002151	2.14179971931161e-35	9.32511961662867e-33
ENSMUSG00000019055	Plod1	331.083486777593	261.527237674003	330.140183312722	79.7870634559514	69.3546121939151	60.0105692038625	188.650525436341	-2.14095898057681	0.172622969346021	-12.402515080628	2.53247952360788e-35	1.06815237906673e-32
ENSMUSG00000051159	Cited1	578.175292543761	624.09908990387	573.512754344536	1453.12189319151	1348.56190377057	1140.20081487339	952.94529143794	1.15029624070745	0.0933449202384953	12.3230727260621	6.80510325265917e-35	2.7832872303376e-32
ENSMUSG00000029168	Dpysl5	292.994236086365	327.899680568541	330.140183312722	825.796106769097	768.680285149226	690.121545844418	539.272006288395	1.26509759214685	0.103621520528194	12.2088306145116	2.78868419784843e-34	1.10702560642236e-31
ENSMUSG00000070327	Rnf213	92.7815080940157	103.02588150794	124.860710355452	498.669146599696	393.009469098852	343.060420615414	259.234522711895	1.94758538769175	0.162660996959026	11.9732783156514	4.90514533243568e-33	1.8915641871967e-30
ENSMUSG00000064373	Selenop	320.340364787759	248.64900248551	326.965758473176	76.7950485763532	73.2076462046882	60.0105692038625	184.328064955225	-2.09194000552019	0.175117826155636	-11.9458998061167	6.82081353953131e-33	2.55723667619595e-30
ENSMUSG00000038526	Car14	804.757501783883	792.506780830311	767.152669556805	315.158900651008	367.964748028828	386.067995211515	572.268099343725	-1.1450151873681	0.0980977056492401	-11.6721913095729	1.7680944961057e-31	6.44972200376722e-29
ENSMUSG00000059246	Foxb1	351.593083303638	368.515653086095	362.942573321357	945.476701953024	868.859169429326	725.127711213338	603.75248205113	1.22963252079607	0.106104963660127	11.5888312702769	4.6949497978405e-31	1.66757203740666e-28
ENSMUSG00000025219	Fgf8	1409.30227557542	1353.20532826776	1218.97913838543	2683.83734699956	3062.19878006189	2324.40938049627	2008.65537496439	1.01911503172908	0.0885856497324531	11.5042903089498	1.25517564752841e-30	4.34387326017715e-28
ENSMUSG00000042821	Snai1	159.193534940259	202.089229111729	194.698056825451	581.448224935246	594.330496161745	450.079269028968	363.6398018339	1.54932556396318	0.135004981029302	11.4760622323032	1.74027288625434e-30	5.87211578644371e-28
ENSMUSG00000032291	Crabp1	1164.16376471649	1306.64555489398	986.187983485438	3207.43995092925	3829.91580670843	3952.69615822774	2407.84153649355	1.66835599644783	0.14604612042296	11.4234872629012	3.19164917715243e-30	1.0506753400982e-27
ENSMUSG00000003436	Dll3	448.281181212139	608.248954287264	559.756913373172	1128.98694790171	1164.57952975616	1197.21085561706	851.177397024584	1.11146667120677	0.0974853789781355	11.4013679062175	4.11600414377402e-30	1.32270733163138e-27
ENSMUSG00000032492	Pth1r	177.749836559062	166.426423974365	209.512039409996	694.147452066777	688.729829425685	449.079092875571	397.607445718576	1.72785799123438	0.151901203658	11.3748801828101	5.57794067396439e-30	1.75082477387203e-27
ENSMUSG00000036030	Prtg	2168.1573470391	2120.94627219712	2156.49260766451	4061.16152990793	3682.53725579636	3350.59011388232	2923.31418774789	0.783443748452927	0.0695041862584642	11.2718929697205	1.80643827045276e-29	5.54124939461385e-27
ENSMUSG00000018973	Hoxb1	734.438885123156	924.26103314335	826.408599894986	1685.50171550697	1730.01227083711	1495.26334932957	1232.64764230586	0.982906019483246	0.0881061631543114	11.1559280791942	6.69901142429034e-29	2.00925682652548e-26
ENSMUSG00000049907	Rasl11b	397.495513623836	375.45008741836	408.442662688175	133.643331288719	146.415292409376	155.027303776645	269.412365200852	-1.44079586406428	0.130447751786362	-11.0450034158037	2.31758846462674e-28	6.80010684936243e-26
ENSMUSG00000049265	Kcnk3	16.6030067115607	9.90633476037889	17.9884074240906	197.47298205348	185.9088910198	105.018496106759	88.8163530126782	3.46055620809575	0.317165538696674	10.910883390157	1.02257780180833e-27	2.93653884915044e-25
ENSMUSG00000017897	Eya2	177.749836559062	131.754252313039	185.174782306815	24.9334573299848	22.1549455619451	30.0052846019312	95.2954264454628	-2.68267948338951	0.250464517713498	-10.7108164776385	9.05595666014322e-27	2.54642181337402e-24
ENSMUSG00000063632	Sox11	2086.11896093492	1908.95070832501	1967.08525890497	1082.11204812134	1148.20413521037	1257.22142482092	1574.94875605292	-0.773783819831294	0.072939074946455	-10.608632209818	2.71697221600298e-26	7.48387224477393e-24
ENSMUSG00000029859	Epha1	79.1084437433186	83.2132119871826	86.7676122809076	305.185517719014	322.691598402244	235.041396048461	185.334630030188	1.79387215470085	0.170572817578629	10.51675278726	7.23233076731464e-26	1.95229536732892e-23
ENSMUSG00000022687	Boc	407.261988160048	339.787282280996	396.803104943175	93.7497995607429	107.884952301646	157.02765608344	250.419130555008	-1.67384496528115	0.162230018290472	-10.3177265398821	5.85941323666043e-25	1.55067647951384e-22
ENSMUSG00000090125	Pou3f1	17.5796541651819	24.7658369009472	32.8023900086358	143.616714220713	155.084618933616	151.026599163054	87.4793022320245	2.58901583007327	0.25211962220616	10.2689977377335	9.72092979761812e-25	2.52314210535484e-22
ENSMUSG00000048826	Dact2	197.282785631486	182.276559590972	174.593366174997	19.9467658639878	25.0447210700249	51.0089838232831	108.358863692458	-2.53195905505233	0.248147219706006	-10.2034552635814	1.9134158309133e-24	4.87271197544091e-22
ENSMUSG00000038119	Cdon	243.185215951683	227.845699488714	192.581773599088	53.8562678327672	60.6852856696757	64.0112738174533	140.36091939323	-1.89501745738388	0.186559978211242	-10.1576848129675	3.06262484727628e-24	7.65486065994221e-22
